trigram,frekuensi
"('in', 'the', 'aspects')",1
"('the', 'aspects', 'of')",1
"('aspects', 'of', 'appearance')",1
"('of', 'appearance', 'features')",1
"('appearance', 'features', 'performance')",1
"('features', 'performance', 'and')",1
"('performance', 'and', 'application')",1
"('and', 'application', 'services')",1
"('application', 'services', 'to')",1
"('services', 'to', 'increase')",1
"('to', 'increase', 'user')",1
"('increase', 'user', 'satisfaction')",1
"('user', 'satisfaction', 'keywords')",1
"('satisfaction', 'keywords', 'mobile')",1
"('keywords', 'mobile', 'banking')",1
"('mobile', 'banking', 'sentiment')",1
"('banking', 'sentiment', 'analysis')",1
"('sentiment', 'analysis', 'nave')",1
"('analysis', 'nave', 'bayes')",1
"('cause', 'analysis', 'aspect')",1
"('analysis', 'aspect', 'playstore')",1
"('aspect', 'playstore', '294')",1
"('playstore', '294', 'jurnal')",1
"('294', 'jurnal', 'teknologi')",1
"('hlm', '293300', '1')",1
"('293300', '1', 'pendahuluan')",1
"('1', 'pendahuluan', 'teknologi')",1
"('bidang', 'bidang', 'perbankan')",1
"('penggunaan', 'teknologi', 'teknologi')",1
"('teknologi', 'teknologi', 'membantu')",1
"('teknologi', 'membantu', 'proses')",1
"('membantu', 'proses', 'pelayanan')",1
"('pengguna', 'bank', 'digital')",1
"('2026', 'jayani', '2021')",1
"('jayani', '2021', 'salah')",1
"('bank', 'jatim', 'jconnect')",1
"('jatim', 'jconnect', 'mobile')",1
"('memudahkan', 'pelayanan', 'nasabah')",1
"('pelayanan', 'nasabah', 'jconnect')",1
"('nasabah', 'jconnect', 'mobile')",1
"('jconnect', 'mobile', 'memiliki')",1
"('mobile', 'memiliki', 'rating')",1
"('skala', '5', 'jconnect')",1
"('5', 'jconnect', 'mobile')",1
"('jconnect', 'mobile', 'nd')",1
"('mobile', 'nd', 'hasil')",1
"('nd', 'hasil', 'pengamatan')",1
"('berisi', 'komplain', 'terkait')",1
"('komplain', 'terkait', 'permasalahan')",1
"('perbaikan', 'layanan', 'produk')",1
"('pelanggan', 'analisis', 'sentimen')",1
"('menganalisis', 'data', 'ulasan')",1
"('negatif', 'analisis', 'sentimen')",1
"('analisis', 'sentimen', 'tingkat')",1
"('sentimen', 'tingkat', 'dokumen')",1
"('devika', 'et', 'al')",1
"('al', '2016', 'analisis')",1
"('2016', 'analisis', 'sentimen')",1
"('jenis', 'analisis', 'sentimen')",1
"('analisis', 'sentimen', 'analisis')",1
"('sentimen', 'analisis', 'sentimen')",1
"('ditentukan', 'analisis', 'sentimen')",1
"('teks', 'fan', 'et')",1
"('alqaryouti', 'et', 'al')",1
"('al', '2019', 'menghasilkan')",1
"('aplikasi', 'pintar', 'pemerintah')",1
"('user', 'interface', 'user')",1
"('interface', 'user', 'experience')",1
"('user', 'experience', 'functionality')",1
"('performance', 'security', 'support')",1
"('aplikasi', 'tokopedia', 'didapatkan')",1
"('tokopedia', 'didapatkan', 'hasil')",1
"('didapatkan', 'hasil', 'akurasi')",1
"('hasil', 'akurasi', 'tertinggi')",1
"('akurasi', 'tertinggi', '925')",1
"('zhafira', 'et', 'al')",1
"('tfidf', 'term', 'frequencyinverse')",1
"('meningkatkan', 'performa', 'nave')",1
"('performa', 'nave', 'bayes')",1
"('analisis', 'sentimen', 'salah')",1
"('hasil', 'analisis', 'sentimen')",1
"('mengidentifikasi', 'faktor', 'faktor')",1
"('faktor', 'faktor', 'utama')",1
"('menyebabkan', 'sentimen', 'negatif')",1
"('rahmawati', 'et', 'al')",1
"('al', '2016', 'berdasarkan')",1
"('2016', 'berdasarkan', 'permasalahan')",1
"('penelitian', 'analisis', 'sentimen')",1
"('nave', 'bayes', 'hasil')",1
"('pt', 'bank', 'pembangunan')",1
"('bank', 'pembangunan', 'daerah')",1
"('pembangunan', 'daerah', 'jawa')",1
"('daerah', 'jawa', 'timur')",1
"('jawa', 'timur', 'tbk')",1
"('timur', 'tbk', 'bank')",1
"('tbk', 'bank', 'jatim')",1
"('jconnect', 'mobile', '2')",1
"('mobile', '2', 'metode')",1
"('gambar', '1', '21')",1
"('1', '21', 'pengumpulan')",1
"('21', 'pengumpulan', 'data')",1
"('pengumpulan', 'data', 'pengumpulan')",1
"('data', 'pengumpulan', 'data')",1
"('ulasan', 'aplikasi', 'jconnect')",1
"('1', 'januari', '2022')",1
"('januari', '2022', '28')",1
"('2022', '28', 'februari')",1
"('28', 'februari', '2023')",1
"('februari', '2023', 'data')",1
"('dataset', 'contoh', 'ulasan')",1
"('tabel', '1', 'ulasan')",1
"('lihat', 'berita', 'ter')",1
"('dunia', 'ekonomi', 'keamanan')",1
"('ekonomi', 'keamanan', 'kesehatan')",1
"('keamanan', 'kesehatan', 'sosial')",1
"('kesehatan', 'sosial', 'coba')",1
"('sosial', 'coba', 'posting')",1
"('coba', 'posting', 'belajar')",1
"('visa', 'unduh', 'all')",1
"('unduh', 'all', 'bank')",1
"('all', 'bank', 'jawa')",1
"('bank', 'jawa', 'timur')",1
"('c', 'wax', 'cc')",1
"('wax', 'cc', '22')",1
"('cc', '22', 'pelabelan')",1
"('22', 'pelabelan', 'data')",1
"('pelabelan', 'data', 'pemberian')",1
"('data', 'pemberian', 'label')",1
"('pemberian', 'label', 'data')",1
"('bantuan', '2', 'orang')",1
"('2', 'orang', 'responden')",1
"('performa', 'layanan', 'data')",1
"('memiliki', '2', 'aspek')",1
"('dipisahkan', 'berdasarkan', 'aspek')",1
"('tabel', '2', 'putra')",1
"('2', 'putra', 'ratnawati')",1
"('berbasis', 'aspek', '295')",1
"('aspek', '295', 'gambar')",1
"('295', 'gambar', '1')",1
"('metode', 'penelitian', 'tabel')",1
"('penelitian', 'tabel', '2')",1
"('tabel', '2', 'kategori')",1
"('2', 'kategori', 'aspek')",1
"('kategori', 'aspek', 'aspek')",1
"('aspek', 'aspek', 'deskripsi')",1
"('aspek', 'deskripsi', 'tampilan')",1
"('deskripsi', 'tampilan', 'aspek')",1
"('tampilan', 'aspek', 'terkait')",1
"('aspek', 'terkait', 'kualitas')",1
"('terkait', 'kualitas', 'aplikasi')",1
"('kemudahan', 'penggunaan', 'fitur')",1
"('performa', 'aspek', 'terkait')",1
"('aspek', 'terkait', 'keandalan')",1
"('tersedia', 'layanan', 'aspek')",1
"('layanan', 'aspek', 'terkait')",1
"('aspek', 'terkait', 'pengalaman')",1
"('terkait', 'pengalaman', 'pengguna')",1
"('23', 'preprocessing', 'data')",1
"('preprocessing', 'data', 'data')",1
"('cleansing', 'case', 'folding')",1
"('case', 'folding', 'filtering')",1
"('folding', 'filtering', 'stemming')",1
"('penghapusan', 'angka', 'simbol')",1
"('teks', 'insan', 'et')",1
"('insan', 'et', 'al')",1
"('al', '2023', 'case')",1
"('2023', 'case', 'folding')",1
"('albab', 'et', 'al')",1
"('al', '2023', 'tahap')",1
"('2023', 'tahap', 'filtering')",1
"('membantu', 'proses', 'klasifikasi')",1
"('proses', 'klasifikasi', 'tahap')",1
"('data', 'memiliki', 'dimensi')",1
"('24', 'ekstraksi', 'fitur')",1
"('ekstraksi', 'fitur', 'data')",1
"('vektor', 'hasil', 'perhitungan')",1
"('hasil', 'perhitungan', 'tfidf')",1
"('perhitungan', 'tfidf', '25')",1
"('tfidf', '25', 'klasifikasi')",1
"('implementasi', 'algoritma', 'nave')",1
"('metode', 'kfold', 'cross')",1
"('cross', 'validation', 'klasifikasi')",1
"('nave', 'bayes', 'performa')",1
"('bayes', 'performa', 'algoritma')",1
"('performa', 'algoritma', 'dihitung')",1
"('metriks', 'akurasi', 'presisi')",1
"('f1score', '26', 'analisis')",1
"('26', 'analisis', 'hasil')",1
"('menemukan', 'akar', 'permasalahan')",1
"('pembuatan', 'rekomendasi', 'berdasarkan')",1
"('rekomendasi', 'berdasarkan', 'hasil')",1
"('stakeholder', 'terkait', '3')",1
"('terkait', '3', 'landasan')",1
"('3', 'landasan', 'kepustakaan')",1
"('landasan', 'kepustakaan', '31')",1
"('kepustakaan', '31', 'term')",1
"('31', 'term', 'frequencyinverse')",1
"('frequency', 'tfidf', 'tfidf')",1
"('hasil', 'perkalian', 'tf')",1
"('idf', 'term', 'frequency')",1
"('term', 'frequency', 'tf')",1
"('berdasarkan', 'tingkat', 'kemunculannya')",1
"('dokumen', 'yutika', 'et')",1
"('al', '2021', 'inverse')",1
"('2021', 'inverse', 'document')",1
"('inverse', 'document', 'frequency')",1
"('document', 'frequency', 'idf')",1
"('muncul', 'didalam', 'kumpulan')",1
"('didalam', 'kumpulan', 'dokumen')",1
"('persamaan', '1', '32')",1
"('1', '32', 'algoritma')",1
"('32', 'algoritma', 'nave')",1
"('nave', 'bayes', 'algoritma')",1
"('bayes', 'algoritma', 'nave')",1
"('berdasar', 'teorema', 'bayes')",1
"('teorema', 'bayes', 'fikri')",1
"('bayes', 'fikri', 'et')",1
"('fikri', 'et', 'al')",1
"('al', '2020', '1')",1
"('2020', '1', '1')",1
"('1', '1', '296')",1
"('1', '296', 'jurnal')",1
"('296', 'jurnal', 'teknologi')",1
"('hlm', '293300', 'keterangan')",1
"('293300', 'keterangan', 'frekuensi')",1
"('dokumen', 'd', 'idf')",1
"('d', 'idf', 'nilai')",1
"('idf', 'nilai', 'idf')",1
"('variabel', 'bersifat', 'bebas')",1
"('jenis', 'algoritma', 'nave')",1
"('klasifikasi', 'data', 'berbentuk')",1
"('data', 'berbentuk', 'teks')",1
"('berbentuk', 'teks', 'pangestu')",1
"('teks', 'pangestu', 'kodar')",1
"('pangestu', 'kodar', '2022')",1
"('kodar', '2022', 'model')",1
"('2022', 'model', 'multinomial')",1
"('model', 'multinomial', 'menghitung')",1
"('multinomial', 'menghitung', 'probabilitas')",1
"('kategori', 'terntentu', 'wati')",1
"('terntentu', 'wati', 'et')",1
"('wati', 'et', 'al')",1
"('al', '2023', 'perhitungan')",1
"('2023', 'perhitungan', 'klasifikasi')",1
"('algoritma', 'multinomial', 'nave')",1
"('persamaan', '2', '2')",1
"('2', '2', 'keterangan')",1
"('2', 'keterangan', 'prior')",1
"('kategori', 'c', 'probabilitasi')",1
"('dokumen', 'bobot', 'tfidf')",1
"('bobot', 'tfidf', 'probabilitas')",1
"('tfidf', 'probabilitas', 'dokumen')",1
"('probabilitas', 'dokumen', 'd')",1
"('kategori', 'c', '33')",1
"('c', '33', 'kfold')",1
"('33', 'kfold', 'cross')",1
"('cross', 'validation', 'kfold')",1
"('validation', 'kfold', 'cross')",1
"('ratnawati', '2018', 'pengujian')",1
"('34', 'root', 'cause')",1
"('mendiagnosis', 'penyebab', 'kritis')",1
"('dikehendaki', 'park', 'kim')",1
"('park', 'kim', '2021')",1
"('kim', '2021', 'rca')",1
"('rooney', 'vanden', 'hauvel')",1
"('vanden', 'hauvel', '2004')",1
"('hauvel', '2004', '4')",1
"('2004', '4', 'hasil')",1
"('41', 'hasil', 'pelabelan')",1
"('hasil', 'pelabelan', 'total')",1
"('pelabelan', 'total', 'data')",1
"('3', 'hasil', 'pelabelan')",1
"('899', 'ulasan', 'positif')",1
"('data', 'aspek', 'layanan')",1
"('61', 'ulasan', 'aspek')",1
"('ulasan', 'aspek', 'fitur')",1
"('positif', 'hasil', 'pelabelan')",1
"('hasil', 'pelabelan', 'ditampilkan')",1
"('tabel', '3', 'distribusi')",1
"('3', 'distribusi', 'sentimen')",1
"('distribusi', 'sentimen', 'aspek')",1
"('sentimen', 'aspek', 'positif')",1
"('aspek', 'positif', 'negatif')",1
"('positif', 'negatif', 'total')",1
"('negatif', 'total', 'rasio')",1
"('total', 'rasio', 'tampilan')",1
"('rasio', 'tampilan', '39')",1
"('tampilan', '39', '22')",1
"('39', '22', '61')",1
"('22', '61', '177')",1
"('61', '177', '1')",1
"('177', '1', 'fitur')",1
"('performa', '203', '604')",1
"('203', '604', '807')",1
"('604', '807', '1')",1
"('807', '1', '297')",1
"('1', '297', 'layanan')",1
"('297', 'layanan', '657')",1
"('layanan', '657', '262')",1
"('657', '262', '919')",1
"('262', '919', '250')",1
"('919', '250', '1')",1
"('250', '1', 'total')",1
"('1', 'total', '899')",1
"('total', '899', '888')",1
"('899', '888', '1787')",1
"('888', '1787', '1011')",1
"('1787', '1011', '42')",1
"('1011', '42', 'hasil')",1
"('42', 'hasil', 'pengujian')",1
"('hasil', 'pengujian', 'klasifikasi')",1
"('pengujian', 'klasifikasi', 'sentimen')",1
"('klasifikasi', 'sentimen', 'pengujian')",1
"('k', 'bernilai', '10')",1
"('menguji', 'performa', 'model')",1
"('f1score', 'tabel', '4')",1
"('4', 'hasil', 'kfold')",1
"('hasil', 'kfold', 'cross')",1
"('cross', 'validation', 'aspek')",1
"('validation', 'aspek', 'akurasi')",1
"('aspek', 'akurasi', 'presisi')",1
"('presisi', 'recall', 'f1score')",1
"('recall', 'f1score', 'tampilan')",1
"('f1score', 'tampilan', '867')",1
"('tampilan', '867', '869')",1
"('867', '869', '858')",1
"('869', '858', '851')",1
"('858', '851', 'fitur')",1
"('performa', '913', '882')",1
"('913', '882', '896')",1
"('882', '896', '888')",1
"('896', '888', 'layanan')",1
"('888', 'layanan', '965')",1
"('layanan', '965', '958')",1
"('965', '958', '957')",1
"('958', '957', '957')",1
"('data', '931', '932')",1
"('931', '932', '931')",1
"('932', '931', '931')",1
"('931', '931', 'hasil')",1
"('layanan', 'memiliki', 'performa')",1
"('rasio', 'perbandingan', 'kelas')",1
"('seimbang', 'seimbang', 'ke2')",1
"('seimbang', 'ke2', 'hasil')",1
"('ke2', 'hasil', 'pengujian')",1
"('memprediksi', 'kelas', 'sentimen')",1
"('pengujian', 'tesebut', 'didukung')",1
"('sun', 'et', 'al')",1
"('rasio', 'ketidakseimbangan', 'distribusi')",1
"('ketidakseimbangan', 'distribusi', 'data')",1
"('berbasis', 'aspek', '297')",1
"('aspek', '297', 'data')",1
"('297', 'data', 'memiliki')",1
"('data', 'memiliki', 'peran')",1
"('menentukan', 'performa', 'model')",1
"('performa', 'model', 'aspek')",1
"('model', 'aspek', 'fitur')",1
"('nilai', 'f1score', 'presisi')",1
"('munculnya', 'false', 'positive')",1
"('memprediksi', 'kelas', 'positif')",1
"('kelas', 'aspek', 'tampilan')",1
"('aspek', 'tampilan', 'memiliki')",1
"('tampilan', 'memiliki', 'performa')",1
"('43', 'hasil', 'root')",1
"('cause', 'analysis', 'root')",1
"('analysis', 'root', 'cause')",1
"('mencari', 'pola', 'kalimat')",1
"('pola', 'kalimat', 'dicari')",1
"('wordcloud', 'ulasan', 'negatif')",1
"('menghasilkan', 'root', 'cause')",1
"('2', 'gambar', '3')",1
"('gambar', '4', '431')",1
"('4', '431', 'aspek')",1
"('431', 'aspek', 'tampilan')",1
"('aspek', 'tampilan', 'gambar')",1
"('tampilan', 'gambar', '2')",1
"('gambar', '2', 'root')",1
"('2', 'root', 'cause')",1
"('cause', 'tree', 'tampilan')",1
"('tree', 'tampilan', 'hasil')",1
"('tampilan', 'hasil', 'wawancara')",1
"('stakeholder', 'terkait', 'permasalahan')",1
"('memenuhi', 'kebutuhan', 'nasabah')",1
"('pedoman', 'spesifik', 'nielsen')",1
"('spesifik', 'nielsen', '2020')",1
"('nielsen', '2020', 'sebaran')",1
"('2020', 'sebaran', 'permasalahan')",1
"('sebaran', 'permasalahan', 'berdasarkan')",1
"('permasalahan', 'berdasarkan', 'prinsip')",1
"('berdasarkan', 'prinsip', 'nielsen')",1
"('prinsip', 'nielsen', 'ditampilkan')",1
"('tabel', '6', 'permasalahan')",1
"('prinsip', 'nielsen', 'prinsip')",1
"('nielsen', 'prinsip', 'permasalahan')",1
"('prinsip', 'permasalahan', 'aesthetic')",1
"('permasalahan', 'aesthetic', 'and')",1
"('aesthetic', 'and', 'minimalist')",1
"('and', 'minimalist', 'design')",1
"('minimalist', 'design', 'delay')",1
"('design', 'delay', 'scroll')",1
"('berat', 'konten', 'visual')",1
"('recognition', 'rather', 'than')",1
"('rather', 'than', 'recall')",1
"('than', 'recall', 'kesulitan')",1
"('recall', 'kesulitan', 'menemukan')",1
"('kesulitan', 'menemukan', 'menu')",1
"('menemukan', 'menu', 'cek')",1
"('menu', 'cek', 'saldo')",1
"('mutasi', 'rekening', '432')",1
"('rekening', '432', 'aspek')",1
"('432', 'aspek', 'fitur')",1
"('performa', 'gambar', '3')",1
"('gambar', '3', 'root')",1
"('3', 'root', 'cause')",1
"('cause', 'tree', 'fitur')",1
"('permasalahan', 'jaringan', 'permasalahan')",1
"('jaringan', 'permasalahan', 'provider')",1
"('permasalahan', 'provider', 'bug')",1
"('provider', 'bug', 'sistem')",1
"('koneksi', 'internet', 'pengguna')",1
"('internet', 'pengguna', '433')",1
"('pengguna', '433', 'aspek')",1
"('433', 'aspek', 'layanan')",1
"('aspek', 'layanan', 'gambar')",1
"('layanan', 'gambar', '4')",1
"('gambar', '4', 'root')",1
"('4', 'root', 'cause')",1
"('cause', 'tree', 'layanan')",1
"('tree', 'layanan', 'proses')",1
"('layanan', 'proses', 'aktivasi')",1
"('pertimbangan', 'faktor', 'kemanan')",1
"('faktor', 'kemanan', 'dimana')",1
"('aktivasi', 'hasil', 'komunikasi')",1
"('diterapkan', 'hasil', 'rekomendasi')",1
"('tabel', '7', '5')",1
"('7', '5', 'kesimpulan')",1
"('saran', 'hasil', 'pengujian')",1
"('k', 'fold', 'cross')",1
"('fold', 'cross', 'validation')",1
"('dibangun', 'memiliki', 'performa')",1
"('teks', '298', 'jurnal')",1
"('298', 'jurnal', 'teknologi')",1
"('hlm', '293300', 'tabel')",1
"('293300', 'tabel', '7')",1
"('tabel', '7', 'rekomendasi')",1
"('7', 'rekomendasi', 'evaluasi')",1
"('rekomendasi', 'evaluasi', 'aspek')",1
"('evaluasi', 'aspek', 'root')",1
"('aspek', 'root', 'cause')",1
"('root', 'cause', 'rekomendasi')",1
"('cause', 'rekomendasi', 'tampilan')",1
"('rekomendasi', 'tampilan', 'desain')",1
"('menarik', 'memperbarui', 'desain')",1
"('indah', 'animasi', 'halus')",1
"('menerima', 'nomor', 'aktivasi')",1
"('sistem', 'pengiriman', 'nomor')",1
"('pengiriman', 'nomor', 'aktivasi')",1
"('memenuhi', 'beban', 'kerja')",1
"('beban', 'kerja', 'aplikasi')",1
"('kerja', 'aplikasi', 'layanan')",1
"('aplikasi', 'layanan', 'layanan')",1
"('layanan', 'layanan', 'aktivasi')",1
"('online', 'hasil', 'pengujian')",1
"('data', 'ulasan', 'menghasilkan')",1
"('ulasan', 'menghasilkan', 'ratarata')",1
"('ratarata', 'akurasi', '931')",1
"('akurasi', '931', 'presisi')",1
"('aspek', 'layanan', 'menghasilkan')",1
"('layanan', 'menghasilkan', 'performa')",1
"('ratarata', 'akurasi', '965')",1
"('akurasi', '965', 'presisi')",1
"('965', 'presisi', '958')",1
"('presisi', '958', 'recall')",1
"('958', 'recall', '957')",1
"('f1score', '957', 'aspek')",1
"('957', 'aspek', 'fitur')",1
"('performa', 'menghasilkan', 'ratarata')",1
"('ratarata', 'akurasi', '913')",1
"('akurasi', '913', 'presisi')",1
"('913', 'presisi', '882')",1
"('presisi', '882', 'recall')",1
"('882', 'recall', '896')",1
"('recall', '896', 'f1score')",1
"('896', 'f1score', '888')",1
"('f1score', '888', 'aspek')",1
"('888', 'aspek', 'tampilan')",1
"('tampilan', 'menghasilkan', 'ratarata')",1
"('ratarata', 'akurasi', '867')",1
"('akurasi', '867', 'presisi')",1
"('867', 'presisi', '869')",1
"('presisi', '869', 'recall')",1
"('869', 'recall', '858')",1
"('f1score', '851', 'aspek')",1
"('851', 'aspek', 'tampilan')",1
"('tampilan', 'menghasilkan', 'performa')",1
"('mudah', 'diklasifikasikan', 'aspek')",1
"('diklasifikasikan', 'aspek', 'tampilan')",1
"('aspek', 'tampilan', 'layanan')",1
"('sentimen', 'negatif', 'dimana')",1
"('negatif', 'dimana', 'pengguna')",1
"('dimana', 'pengguna', 'puas')",1
"('bertransaksi', 'aspek', 'fitur')",1
"('positif', 'hasil', 'root')",1
"('3', 'aspek', 'tampilan')",1
"('jconnect', 'mobile', 'rekomendasi')",1
"('bahan', 'evaluasi', 'penelitian')",1
"('kolom', 'ulasan', 'playstore')",1
"('sumber', 'ulasan', 'pengguna')",1
"('proses', 'pelabelan', 'otomatis')",1
"('daftar', 'pustaka', 'albab')",1
"('pustaka', 'albab', 'm')",1
"('albab', 'm', 'u')",1
"('m', 'u', 'p')",1
"('u', 'p', 'y')",1
"('p', 'y', 'k')",1
"('y', 'k', 'fawaiq')",1
"('k', 'fawaiq', 'n')",1
"('fawaiq', 'n', 'm')",1
"('n', 'm', '2023')",1
"('m', '2023', 'optimization')",1
"('2023', 'optimization', 'of')",1
"('optimization', 'of', 'the')",1
"('of', 'the', 'stemming')",1
"('the', 'stemming', 'technique')",1
"('stemming', 'technique', 'on')",1
"('technique', 'on', 'text')",1
"('on', 'text', 'preprocessing')",1
"('text', 'preprocessing', 'president')",1
"('preprocessing', 'president', '3')",1
"('president', '3', 'periods')",1
"('3', 'periods', 'topic')",1
"('periods', 'topic', 'jurnal')",1
"('topic', 'jurnal', 'transformatika')",1
"('jurnal', 'transformatika', '202')",1
"('transformatika', '202', 'pp')",1
"('202', 'pp', '112')",1
"('pp', '112', 'alqaryouti')",1
"('112', 'alqaryouti', 'o')",1
"('alqaryouti', 'o', 'siyam')",1
"('o', 'siyam', 'n')",1
"('siyam', 'n', 'shaalan')",1
"('n', 'shaalan', 'k')",1
"('shaalan', 'k', '2019')",1
"('k', '2019', 'a')",1
"('2019', 'a', 'sentiment')",1
"('a', 'sentiment', 'analysis')",1
"('sentiment', 'analysis', 'lexical')",1
"('analysis', 'lexical', 'resource')",1
"('lexical', 'resource', 'and')",1
"('resource', 'and', 'dataset')",1
"('and', 'dataset', 'for')",1
"('dataset', 'for', 'government')",1
"('for', 'government', 'smart')",1
"('government', 'smart', 'apps')",1
"('smart', 'apps', 'domain')",1
"('apps', 'domain', 'sl')",1
"('domain', 'sl', 'springer')",1
"('sl', 'springer', 'p')",1
"('springer', 'p', '230')",1
"('p', '230', '240')",1
"('230', '240', 'astuti')",1
"('240', 'astuti', 's')",1
"('astuti', 's', 'p')",1
"('s', 'p', '2020')",1
"('p', '2020', 'analisis')",1
"('2020', 'analisis', 'sentimen')",1
"('nave', 'bayes', 'jakarta')",1
"('bayes', 'jakarta', 'uin')",1
"('jakarta', 'uin', 'syarif')",1
"('uin', 'syarif', 'hidayatullah')",1
"('syarif', 'hidayatullah', 'jakarta')",1
"('hidayatullah', 'jakarta', 'devika')",1
"('jakarta', 'devika', 'm')",1
"('devika', 'm', 'd')",1
"('m', 'd', 'sunitha')",1
"('d', 'sunitha', 'c')",1
"('sunitha', 'c', 'ganesh')",1
"('c', 'ganesh', 'a')",1
"('ganesh', 'a', '2016')",1
"('a', '2016', 'sentiment')",1
"('2016', 'sentiment', 'analysis')",1
"('sentiment', 'analysis', 'a')",1
"('analysis', 'a', 'comparative')",1
"('a', 'comparative', 'putra')",1
"('comparative', 'putra', 'ratnawati')",1
"('berbasis', 'aspek', '299')",1
"('aspek', '299', 'study')",1
"('299', 'study', 'on')",1
"('study', 'on', 'different')",1
"('on', 'different', 'approaches')",1
"('different', 'approaches', 'procedia')",1
"('approaches', 'procedia', 'computer')",1
"('procedia', 'computer', 'science')",1
"('computer', 'science', 'volume')",1
"('science', 'volume', '87')",1
"('volume', '87', 'pp')",1
"('87', 'pp', '4449')",1
"('pp', '4449', 'fan')",1
"('4449', 'fan', 's')",1
"('fan', 's', 'yao')",1
"('s', 'yao', 'j')",1
"('yao', 'j', 'yangyang')",1
"('j', 'yangyang', 's')",1
"('yangyang', 's', 'zhan')",1
"('s', 'zhan', 'y')",1
"('zhan', 'y', '2020')",1
"('y', '2020', 'a')",1
"('2020', 'a', 'summary')",1
"('a', 'summary', 'of')",1
"('summary', 'of', 'aspectbased')",1
"('of', 'aspectbased', 'sentiment')",1
"('sentiment', 'analysis', 'journal')",1
"('analysis', 'journal', 'of')",1
"('journal', 'of', 'physics')",1
"('of', 'physics', 'conference')",1
"('physics', 'conference', 'series')",1
"('conference', 'series', '16242')",1
"('series', '16242', 'p')",1
"('16242', 'p', '022051')",1
"('p', '022051', 'fikri')",1
"('022051', 'fikri', 'm')",1
"('fikri', 'm', 'i')",1
"('m', 'i', 'sabrila')",1
"('i', 'sabrila', 't')",1
"('sabrila', 't', 's')",1
"('t', 's', 'azhar')",1
"('s', 'azhar', 'y')",1
"('azhar', 'y', '2020')",1
"('y', '2020', 'perbandingan')",1
"('2020', 'perbandingan', 'metode')",1
"('perbandingan', 'metode', 'nave')",1
"('support', 'vector', 'machine')",1
"('analisis', 'sentimen', 'twitter')",1
"('sentimen', 'twitter', 'smatika')",1
"('twitter', 'smatika', 'jurnal')",1
"('smatika', 'jurnal', '102')",1
"('jurnal', '102', 'pp')",1
"('102', 'pp', '7176')",1
"('pp', '7176', 'insan')",1
"('7176', 'insan', 'm')",1
"('insan', 'm', 'k')",1
"('m', 'k', 'hayati')",1
"('k', 'hayati', 'u')",1
"('hayati', 'u', 'nurdiawan')",1
"('u', 'nurdiawan', 'o')",1
"('nurdiawan', 'o', '2023')",1
"('o', '2023', 'analisis')",1
"('2023', 'analisis', 'sentimen')",1
"('analisis', 'sentimen', 'aplikasi')",1
"('sentimen', 'aplikasi', 'brimo')",1
"('naive', 'bayes', 'jati')",1
"('bayes', 'jati', 'jurnal')",1
"('jati', 'jurnal', 'mahasiswa')",1
"('jurnal', 'mahasiswa', 'teknik')",1
"('mahasiswa', 'teknik', 'informatika')",1
"('teknik', 'informatika', '71')",1
"('informatika', '71', 'pp')",1
"('71', 'pp', '478483')",1
"('pp', '478483', 'jayani')",1
"('478483', 'jayani', 'd')",1
"('jayani', 'd', 'h')",1
"('d', 'h', '2021')",1
"('h', '2021', 'proyeksi')",1
"('2021', 'proyeksi', 'orang')",1
"('proyeksi', 'orang', 'dewasa')",1
"('memiliki', 'rekening', 'bank')",1
"('rekening', 'bank', 'digital')",1
"('bank', 'digital', '2021')",1
"('digital', '2021', '2026')",1
"('2021', '2026', 'online')",1
"('2026', 'online', 'available')",1
"('available', 'at', 'httpsdatabokskatadatacoiddatapublish')",1
"('at', 'httpsdatabokskatadatacoiddatapublish', '20211007penggunabankdigitaldi')",1
"('httpsdatabokskatadatacoiddatapublish', '20211007penggunabankdigitaldi', 'indonesiadiproyeksicapai748jutapada')",1
"('20211007penggunabankdigitaldi', 'indonesiadiproyeksicapai748jutapada', '2026')",1
"('indonesiadiproyeksicapai748jutapada', '2026', 'diakses')",1
"('2026', 'diakses', '18')",1
"('diakses', '18', 'februari')",1
"('18', 'februari', '2023')",1
"('februari', '2023', 'jconnect')",1
"('2023', 'jconnect', 'mobile')",1
"('jconnect', 'mobile', 'tthn')",1
"('mobile', 'tthn', 'jconnect')",1
"('tthn', 'jconnect', 'mobile')",1
"('jconnect', 'mobile', 'online')",1
"('mobile', 'online', 'available')",1
"('available', 'at', 'httpsplaygooglecomstoresearchqjco')",1
"('at', 'httpsplaygooglecomstoresearchqjco', 'nnectmobilecapps')",1
"('httpsplaygooglecomstoresearchqjco', 'nnectmobilecapps', 'diakses')",1
"('nnectmobilecapps', 'diakses', '3')",1
"('diakses', '3', 'maret')",1
"('3', 'maret', '2023')",1
"('maret', '2023', 'nielsen')",1
"('2023', 'nielsen', 'j')",1
"('nielsen', 'j', '2020')",1
"('j', '2020', '10')",1
"('2020', '10', 'usability')",1
"('10', 'usability', 'heuristics')",1
"('usability', 'heuristics', 'for')",1
"('heuristics', 'for', 'user')",1
"('for', 'user', 'interface')",1
"('interface', 'design', 'online')",1
"('design', 'online', 'available')",1
"('available', 'at', 'httpswwwnngroupcomarticlesten')",1
"('at', 'httpswwwnngroupcomarticlesten', 'usabilityheuristics')",1
