bigram,frekuensi
"('memahami', 'permasalahan')",4
"('infor', 'masi')",4
"('kota', 'bogor')",4
"('1', 'diagram')",4
"('pemerintah', 'republik')",4
"('piyungan', 'ditutup')",4
"('pengelola', 'tpst')",4
"('pertemuan', 'ketiga')",4
"('sari', '2018')",4
"('pendidik', 'sd')",4
"('rakyat', 'indonesia')",4
"('pemanfaatan', 'sumber')",4
"('pengujian', 'teknik')",4
"('putaran', 'rendah')",4
"('kombinasi', 'intent')",4
"('data', 'berbahasa')",4
"('recognition', 'ner')",4
"('h', 'l')",4
"('ieee', 'international')",4
"('ucapan', 'terimakasih')",4
"('clik', '1')",4
"('label', 'entitas')",4
"('masuk', 'kedalam')",4
"('cdi', 'standar')",4
"('tarian', 'anakanak')",4
"('pengumpulan', 'tugas')",4
"('setiawan', '2019')",4
"('70', 'early')",4
"('katup', 'buang')",4
"('anak', 'domba')",4
"('the', 'development')",4
"('konfigurasi', 'hiperparameter')",4
"('pendapatan', 'masyarakat')",4
"('minyak', 'mentah')",4
"('the', 'state')",4
"('mengalami', 'kesulitan')",4
"('development', 'and')",4
"('of', 'new')",4
"('al', '2023')",4
"('who', 'use')",4
"('tenaga', 'panas')",4
"('entitas', 'bernama')",4
"('pustaka', 'pytorch')",4
"('putaran', 'poros')",4
"('case', 'study')",4
"('data', 'kualitatif')",4
"('pendekatan', 'kreatif')",4
"('perpustakaan', 'digital')",4
"('bahan', 'pustaka')",4
"('seiring', 'berjalannya')",4
"('sektor', 'kehidupan')",4
"('desain', 'halaman')",4
"('uji', 'homogenitas')",4
"('09847', '09476')",4
"('terima', 'kasih')",4
"('gas', 'pembakaran')",4
"('ner', 'f1score')",4
"('elemenelemen', 'visual')",4
"('media', 'literasi')",4
"('nasional', 'bangsa')",4
"('memiliki', 'sifat')",4
"('tanggal', '28')",4
"('sumpah', 'pemuda')",4
"('interface', 'ui')",4
"('rate', 'of')",4
"('approach', 'to')",4
"('dkk', '2022')",4
"('mencari', 'solusi')",4
"('bidang', 'kesehatan')",4
"('tafsiran', 'kitab')",4
"('wahyu', 'surabaya')",4
"('surabaya', 'momentum')",4
"('27', 'responden')",4
"('pengujian', 'hipotesis')",4
"('langkah', 'kompresi')",4
"('jaringan', 'komputer')",4
"('pengertian', 'teknologi')",4
"('berdasarkan', 'analisis')",4
"('otomasi', 'perpustakaan')",4
"('area', 'network')",4
"('memahami', 'karakteristik')",4
"('toko', 'retail')",4
"('algoritma', 'k')",4
"('penerapan', 'user')",4
"('muhammad', 'syarif')",4
"('von', 'eichendorff')",4
"('covid19', 'pandemic')",4
"('dimensi', 'interpretasi')",4
"('dimensi', 'estetika')",4
"('penggunaan', 'warna')",4
"('pengukuran', 'konsumsi')",4
"('kualitas', 'hidup')",4
"('adam', '1e5')",4
"('1e5', '05')",4
"('makanan', 'khas')",4
"('buang', 'kendaraan')",4
"('nilai', 'gradien')",4
"('syarif', 'hartawan')",4
"('nilai', 'learning')",4
"('halaman', 'top')",4
"('cluster', 'validation')",4
"('validation', 'metrics')",4
"('immanuel', 'dkk')",4
"('dkk', 'visualisasi')",4
"('berdasarkan', 'peraturan')",4
"('materi', 'permasalahan')",4
"('train', 'loss')",4
"('saringan', 'udara')",4
"('visualization', 'of')",4
"('of', 'customer')",4
"('total', 'cost')",4
"('kandidat', 'medoids')",4
"('interpretasi', 'teks')",4
"('transformasi', 'puisi')",4
"('pelanggan', 'halaman')",4
"('tanaman', 'pangan')",4
"('penggunaan', 'sumber')",4
"('experience', 'lean')",4
"('2', '31')",4
"('15', '30')",4
"('30', '9')",4
"('memiliki', 'ron')",4
"('specific', 'fuel')",4
"('through', 'a')",4
"('menerapka', 'n')",4
"('mengkases', 'halaman')",4
"('halaman', 'mengakses')",4
"('berhasil', 'menampil')",4
"('acceptability', 'range')",4
"('analisis', 'metode')",4
"('penggunaan', 'sistem')",4
"('hasil', 'survey')",4
"('50', 'orang')",4
"('universitas', 'pendidikan')",4
"('pendidikan', 'indonesia')",4
"('the', 'impact')",4
"('total', 'of')",4
"('berdasarkan', 'negara')",4
"('a', 'total')",4
"('differences', 'in')",4
"('the', 'projectbased')",4
"('posttest', '3')",4
"('used', 'was')",4
"('memegang', 'peranan')",4
"('torsi', 'mesin')",4
"('rentang', 'usia')",4
"('google', 'formulir')",4
"('warna', 'komposisi')",3
"('nur', 'aini')",3
"('bentuk', 'gambar')",3
"('jakarta', 'lembaga')",3
"('id', 'pelanggan')",3
"('menampilkan', 'analisis')",3
"('data', 'berdasarkan')",3
"('negara', 'pelanggan')",3
"('survey', 'the')",3
"('the', 'z')",3
"('of', 'health')",3
"('virgiawan', '2015')",3
"('monetary', 'rendah')",3
"('penggunaan', 'bahasa')",3
"('kombinasi', 'gambar')",3
"('uses', 'a')",3
"('the', 'study')",3
"('a', 'descriptive')",3
"('descriptive', 'qualitative')",3
"('qualitative', 'method')",3
"('impact', 'of')",3
"('5775', 'eissn')",3
"('eissn', '27745767')",3
"('film', 'muhammad')",3
"('jakarta', 'sinar')",3
"('rendah', 'dibandingkan')",3
"('pendekatan', 'ucd')",3
"('aneh', 'sinyalnya')",3
"('menghitung', 'nilai')",3
"('metode', 'konvensional')",3
"('group', 'design')",3
"('rendahnya', 'hasil')",3
"('ips', 'sma')",3
"('semester', 'i')",3
"('interaksi', 'sosial')",3
"('langkah', 'ketiga')",3
"('algoritma', 'clustering')",3
"('control', 'and')",3
"('warga', 'indonesia')",3
"('tanggal', '31')",3
"('tenaga', 'kesehatan')",3
"('penderitaan', 'hidup')",3
"('the', 'kmeans')",3
"('data', 'visualization')",3
"('2022', 'berdasarkan')",3
"('indonesia', '2012')",3
"('silhouette', 'calinskiharabasz')",3
"('metode', 'clustering')",3
"('a', 'h')",3
"('davies', 'bouldin')",3
"('bouldin', 'index')",3
"('mengonversi', 'teks')",3
"('social', 'distancing')",3
"('gereja', 'tuhan')",3
"('mengubah', 'teks')",3
"('rfm', 'attributes')",3
"('memahami', 'makna')",3
"('realitas', 'sosial')",3
"('sosial', 'politik')",3
"('jaringan', 'daring')",3
"('protokol', 'kesehatan')",3
"('advances', 'in')",3
"('b', '2020')",3
"('computational', 'linguistics')",3
"('penyampaian', 'informasi')",3
"('3', 'komunikasi')",3
"('kebutuhan', 'pokok')",3
"('tahapan', 'evaluasi')",3
"('end', 'user')",3
"('tenaga', 'kerja')",3
"('memiliki', 'karakteristik')",3
"('2018', 'international')",3
"('mencapai', 'nilai')",3
"('perkembangan', 'zaman')",3
"('mengurangi', 'tingkat')",3
"('case', 'optim')",3
"('optim', 'lr')",3
"('jeis', 'volume')",3
"('volume', '02')",3
"('02', 'nomor')",3
"('nomor', '01')",3
"('01', 'januari')",3
"('2022', 'issn')",3
"('2774', '5775')",3
"('konsultan', 'hukum')",3
"('memiliki', 'kelebihan')",3
"('beli', 'pulsa')",3
"('pembelian', 'paket')",3
"('paket', 'internet')",3
"('internet', 'malam')",3
"('ya', 'admin')",3
"('experience', 'aplikasi')",3
"('swadharma', 'jeis')",3
"('formal', 'language')",3
"('this', 'is')",3
"('finetuning', 'gpt2')",3
"('konversi', 'energi')",3
"('penelitian', 'dilaksanakan')",3
"('dkk', '2017')",3
"('pengembangan', 'model')",3
"('desain', 'prototype')",3
"('model', 'model')",3
"('communication', 'psychology')",3
"('kemendag', '2022')",3
"('pengujian', 'stasioneritas')",3
"('menjaga', 'ketersediaan')",3
"('meningkatkan', 'pendapatan')",3
"('able', 'to')",3
"('model', 'in')",3
"('evaluasi', 'desain')",3
"('android', 'application')",3
"('the', 'user')",3
"('encyclopedia', 'of')",3
"('bahasa', 'resmi')",3
"('memenuhi', 'fungsinya')",3
"('nilai', 'budaya')",3
"('negara', 'memiliki')",3
"('fungsi', 'lahan')",3
"('489', 'persen')",3
"('urban', 'farming')",3
"('dkk', '2019')",3
"('and', 'can')",3
"('fungsi', 'aktivasi')",3
"('kebutuhan', 'informasi')",3
"('android', 'sinopsis')",3
"('negara', 'ri')",3
"('mengalami', 'proses')",3
"('digunakannya', 'bahasa')",3
"('in', 'legal')",3
"('valuta', 'asing')",3
"('2010', 'metode')",3
"('jakarta', 'kencana')",3
"('karya', 'tulis')",3
"('agama', 'islam')",3
"('konteks', 'pendidikan')",3
"('unsurunsur', 'identitas')",3
"('3', 'the')",3
"('persatuan', 'bahasa')",3
"('organisasi', 'kemasyarakatan')",3
"('ri', '1945')",3
"('hati', 'nurani')",3
"('mencapai', 'us1418')",3
"('us1418', 'miliar')",3
"('peningkatan', 'ketahanan')",3
"('the', 'effect')",3
"('effect', 'of')",3
"('perbedaan', 'pandangan')",3
"('bahasa', 'arab')",3
"('nina', 'syam')",3
"('model', 'pretrained')",3
"('data', '4')",3
"('prosiding', 'seminar')",3
"('budidaya', 'tanaman')",3
"('bidang', 'ekspor')",3
"('periode', '2018')",3
"('2018', '2021')",3
"('2021', 'mengalami')",3
"('sistem', 'perangkat')",3
"('36', '36')",3
"('6', 'hasil')",3
"('rizal', 'setya')",3
"('setya', 'perdana2')",3
"('barang', 'modal')",3
"('meningkatkan', 'ekspor')",3
"('kemendag', '2018')",3
"('17', 'bau')",3
"('unit', 'root')",3
"('pengetahuan', 'masyarakat')",3
"('sulawesi', 'tenggara')",3
"('hs', '44')",3
"('hs', '94')",3
"('05', 'agustus')",3
"('perangkat', 'mobile')",3
"('sosial', 'budaya')",3
"('peraturan', 'perundangundangan')",3
"('peraturan', 'perundang')",3
"('perundang', 'undangan')",3
"('indonesia', 'salah')",3
"('proses', 'pendidikan')",3
"('fungsi', 'bahasa')",3
"('volume', 'naphtha')",3
"('of', 'science')",3
"('1e4', 'batch')",3
"('in', 'indonesian')",3
"('kalimat', 'informal')",3
"('memahami', 'bahasa')",3
"('studi', 'ilmu')",3
"('universitas', 'dwijendra')",3
"('a', '2016')",3
"('9', '5')",3
"('indonesia', 'aplikasi')",3
"('menerapkan', 'pembelajaran')",3
"('hasil', 'angket')",3
"('2', 'efisiensi')",3
"('2020', 'hasil')",3
"('indonesia', 'layak')",3
"('alat', 'gas')",3
"('alat', 'komunikasi')",3
"('bahasa', 'pemersatu')",3
"('sastra', 'daerah')",3
"('elemen', 'kebangsaan')",3
"('indonesia', 'bahasa')",3
"('buku', 'buku')",3
"('pemakaian', 'bahasa')",3
"('taman', 'kanakkanak')",3
"('memperhatikan', 'suasana')",3
"('masingmasing', 'kelompok')",3
"('15', 'menit')",3
"('siswa', 'a')",3
"('siswa', 'd')",3
"('lengkap', 'sesuai')",3
"('menumbuhkan', 'kepercayaan')",3
"('perbedaan', 'kewarganegaraan')",3
"('warta', 'ekspor')",3
"('dirasakan', '18')",3
"('18', 'uji')",3
"('uji', 'doctor')",3
"('doctor', 'negative')",3
"('negative', 'negative')",3
"('ekstrinsik', 'hikayat')",3
"('suasana', 'batin')",3
"('ikan', 'tongkol')",3
"('sumber', 'pangan')",3
"('meliputi', 'a')",3
"('putaran', '3000')",3
"('especially', 'in')",3
"('so', 'it')",3
"('isi', 'aplikasi')",3
"('daring', 'online')",3
"('kgm3', '715')",3
"('cinta', 'tanah')",3
"('generasi', 'penerus')",3
"('2', 'bahasa')",3
"('bahasa', 'gaul')",3
"('penerus', 'bangsa')",3
"('undangundang', 'nomor')",3
"('kemudahan', 'akses')",3
"('kemampuan', 'siswa')",3
"('jalannya', 'interaksi')",3
"('teman', 'sebaya')",3
"('kekuatan', 'motivasi')",3
"('kepanjangan', 'akal')",3
"('kemampuan', 'berbahasanya')",3
"('belajar', 'guru')",3
"('20', 'menit')",3
"('pasca', 'pandemi')",3
"('2021', 'ekspor')",3
"('penguapan', 'titik')",3
"('12', 'korosi')",3
"('13', 'sulfur')",3
"('berat', 'jenis')",3
"('suhu', '15')",3
"('c', 'siswa')",3
"('16', 'kandungan')",3
"('hasil', 'panen')",3
"('12', 'desember')",3
"('the', 'validation')",3
"('suitable', 'for')",3
"('multiplatform', 'application')",3
"('development', 'implementation')",3
"('use', 'in')",3
"('sulfur', 'mercaptan')",3
"('mercaptan', 'massa')",3
"('massa', '002')",3
"('002', '14')",3
"('14', 'penampilan')",3
"('terang', 'jernih')",3
"('residu', 'oc')",3
"('15', 'warna')",3
"('menit', 'kelas')",3
"('menjalin', 'interaksi')",3
"('kajian', 'teori')",3
"('bahasa', 'guru')",3
"('mental', 'peserta')",3
"('e', 'siswa')",3
"('i', '13')",3
"('013', '17')",3
"('and', 'development')",3
"('pemajuan', 'kebudayaan')",3
"('rekor', 'tertinggi')",3
"('refinery', 'nusantara')",3
"('terang', '15')",3
"('korosi', 'bilah')",3
"('bilah', 'tembaga')",3
"('tembaga', 'menit')",3
"('vol', '19')",3
"('n', 'k')",3
"('mengenalkan', 'budaya')",3
"('media', 'materi')",3
"('hasil', 'persentase')",3
"('ulama', 'kalimantan')",3
"('kalimantan', 'barat')",3
"('pengolahan', 'data')",3
"('1', 'bilangan')",3
"('oktan', '2')",3
"('2', 'angka')",3
"('ml', '5')",3
"('88', '125')",3
"('kemampuan', 'anak')",3
"('tanggal', '15')",3
"('new', 'york')",3
"('pewarna', 'gr100')",3
"('gr100', 'l')",3
"('l', '013')",3
"('oc', '215')",3
"('penguapan', '50')",3
"('50', 'vol')",3
"('penguapan', '90')",3
"('90', 'vol')",3
"('dasar', 'penelitian')",3
"('design', 'development')",3
"('2', 'sistem')",3
"('6000', 'rpm')",3
"('jenis', 'barang')",3
"('pemberian', 'bantuan')",3
"('harga', 'barang')",3
"('kandungan', 'pewarna')",3
"('hasil', 'bumi')",3
"('nilai', 'tawar')",3
"('research', 'in')",3
"('in', 'an')",3
"('on', 'information')",3
"('information', 'and')",3
"('usability', 'testing')",3
"('addie', 'analysis')",3
"('mg100', 'ml')",3
"('10', 'tekanan')",3
"('tekanan', 'uap')",3
"('uap', 'kpa')",3
"('60', '11')",3
"('mm', '005')",3
"('r', '2016')",3
"('warga', 'masyarakat')",3
"('oc', '180')",3
"('180', 'oc')",3
"('11', 'berat')",3
"('vol', '20')",3
"('20', '9')",3
"('9', 'washed')",3
"('washed', 'gum')",3
"('gum', 'mg100')",3
"('dilaksanakan', 'penelitian')",3
"('penelitian', 'tahapan')",3
"('bentuk', 'perilaku')",3
"('siswa', 'interaksi')",3
"('memilih', 'emosi')",3
"('analisis', 'durasi')",3
"('analisis', 'pitch')",3
"('peran', 'pendekatan')",3
"('kandungan', 'oksigen')",3
"('oksigen', 'mm')",3
"('mm', '27')",3
"('27', '8')",3
"('8', 'distilasi')",3
"('distilasi', '10')",3
"('improvisasi', 'tampilan')",3
"('testing', 'using')",3
"('sulfur', 'mm')",3
"('10', 'vol')",3
"('005', '6')",3
"('6', 'kandungan')",3
"('timbal', 'pb')",3
"('pb', 'grl')",3
"('oktan', 'riset')",3
"('7', 'kandungan')",3
"('oksidasi', 'menit')",3
"('diagram', 'blok')",3
"('fonem', 'tunggal')",3
"('komunikasi', 'manusia')",3
"('b', 'metode')",3
"('kualitas', 'suara')",3
"('6', 'juni')",3
"('5', 'kandungan')",3
"('aceh', 'jurnal')",3
"('provinsi', 'aceh')",3
"('ilmiah', 'basis')",3
"('basis', 'ekonomi')",3
"('bisnis', 'vol')",3
"('yogyakarta', '2009')",3
"('4', 'stabilitas')",3
"('stabilitas', 'oksidasi')",3
"('mesin', 'fakultas')",3
"('mbrola', 'voice')",3
"('manusia', 'memiliki')",3
"('desain', 'uiux')",3
"('penggunaan', 'jenis')",3
"('kelas', 'teori')",3
"('pilih', 'kelas')",3
"('persentase', 'penilaian')",3
"('informasi', '2')",3
"('destilasi', 'minyak')",3
"('riset', 'ron')",3
"('ron', 'ron')",3
"('3', 'angka')",3
"('motor', 'mon')",3
"('mon', 'mon')",3
"('matondang', '118130030')",3
"('2014', 'metode')",3
"('pendidikan', 'pendekatan')",3
"('human', 'factors')",3
"('olahan', 'pangan')",3
"('brawijaya', 'pti')",3
"('pengaruh', 'design')",3
"('satuan', 'batasan')",3
"('max', '1')",3
"('lecture', 'notes')",3
"('notes', 'in')",3
"('36', '90')",3
"('34', '85')",3
"('35', '875')",3
"('perhitungan', 'skor')",3
"('praktikum', 'list')",3
"('pendekatan', 'kuantitatif')",3
"('karakteristik', 'satuan')",3
"('no', 'karakteristik')",3
"('nomor', '16')",3
"('kegiatan', 'plp')",3
"('sig', '005')",3
"('construct', 'validity')",3
"('pengetahuan', 'design')",3
"('technology', 'in')",3
"('mengarahkan', 'siswa')",3
"('penerapan', 'design')",3
"('badan', 'pariwisata')",3
"('keberagaman', 'kuliner')",3
"('metode', 'pengumpulan')",3
"('isu', 'lingkungan')",3
"('jalur', 'perpindahan')",3
"('kelas', 'x')",3
"('2004', 'pengaruh')",3
"('pembuatan', 'desain')",3
"('4', 'tabel')",3
"('asisten', 'lab')",3
"('ratarata', 'skor')",3
"('menilai', 'aplikasi')",3
"('membutuhkan', 'bantuan')",3
"('homepage', 'mahasiswa')",3
"('a', 'questionnaire')",3
"('pedagogical', 'skills')",3
"('ahli', 'bahasa')",3
"('ahli', 'design')",3
"('kondisi', 'ekonomi')",3
"('pengembangan', 'potensi')",3
"('software', 'figma')",3
"('metode', 'cognitive')",3
"('xu', '2024')",3
"('berpikir', 'tingkat')",3
"('keterampilan', 'pemecahan')",3
"('dependent', 'variable')",3
"('school', '22')",3
"('pasca', 'panen')",3
"('emisi', 'karbon')",3
"('laboratorium', 'informatika')",3
"('taken', 'by')",3
"('data', 'analysis')",3
"('analysis', 'technique')",3
"('descriptive', 'analysis')",3
"('calavia', 'et')",3
"('liu', 'gu')",3
"('gu', 'and')",3
"('and', 'xu')",3
"('lingkungan', 'akibat')",3
"('nilai', 'ekonomi')",3
"('persepsi', 'human')",3
"('kegiatan', 'ppdb')",3
"('cirebon', 'city')",3
"('city', 'senior')",3
"('technique', 'used')",3
"('were', 'class')",3
"('of', 'engineering')",3
"('bentuk', 'desain')",3
"('asumsi', 'hipotesis')",3
"('k', 'm')",3
"('evaluasi', 'hasil')",3
"('pengembangan', 'peserta')",3
"('amalia', 'rahman')",3
"('rahman', 'pengaruh')",3
"('kendaraan', 'sepeda')",3
"('naturalness', 'ketepatan')",3
"('masingmasing', 'emosi')",3
"('mengalami', 'kemajuan')",3
"('nilai', 'pitch')",3
"('on', 'a')",3
"('gizi', 'buruk')",3
"('data', 'diperoleh')",3
"('a', 'score')",3
"('rating', 'excelent')",3
"('the', 'design')",3
"('d', '2022')",3
"('18', '3')",3
"('3', '121')",3
"('121', '363')",3
"('363', '69')",3
"('indonesia', 'berdasarkan')",3
"('tampilan', 'antarmuka')",3
"('manusia', 'berdasarkan')",3
"('meningkatkan', 'ketahanan')",3
"('perancangan', 'ux')",3
"('mobile', 'learning')",3
"('manajemen', 'kegiatan')",3
"('website', 'ilab')",3
"('metode', 'system')",3
"('2', 'iterasi')",3
"('pembuatan', 'style')",3
"('jakarta', 'direktorat')",3
"('and', 'its')",3
"('the', 'integration')",3
"('integration', 'of')",3
"('pemangku', 'kepentingan')",3
"('to', 'support')",3
"('tingkat', 'acceptability')",3
"('krtitis', 'peserta')",3
"('menghadapi', 'permasalahan')",3
"('menghadapi', 'tantangan')",3
"('memiliki', 'kompetensi')",3
"('hypothesis', 'is')",3
"('range', 'good')",3
"('172', '24')",3
"('24', 'total')",3
"('standar', 'deviasi')",3
"('program', 'for')",3
"('mencerna', 'makanan')",3
"('5', '8788')",3
"('materi', 'sistem')",3
"('berdasarkan', 'perspektif')",3
"('8000', 'rpm')",3
"('teknologi', 'setara')",3
"('delapan', 'dimensi')",3
"('sman', '1')",3
"('lingkup', 'kecamatan')",3
"('nomor', '51')",3
"('4', '43')",3
"('43', '172')",3
"('ayat', 'alquran')",3
"('ayat', '5')",3
"('penerima', 'makanan')",3
"('sisasisa', 'pencernaan')",3
"('didik', 'kelas')",3
"('paired', 'sample')",3
"('speech', 'tts')",3
"('fokus', 'penelitian')",3
"('zatzat', 'makanan')",3
"('and', 'specific')",3
"('injection', 'efi')",3
"('setuju', '121')",3
"('islam', 'jakarta')",3
"('majelis', 'ulama')",3
"('pelajar', 'smp')",3
"('hamka', 'dkk')",3
"('raw', 'query')",3
"('query', 'sql')",3
"('gambar', '14')",3
"('4', 'pengujian')",3
"('gambar', '13')",3
"('melampaui', 'batas')",3
"('evaluation', 'of')",3
"('desain', 'sistem')",3
"('sesungguhnya', 'allah')",3
"('ilab', 'mobile')",3
"('daya', 'minimum')",3
"('process', 'of')",3
"('the', 'ilab')",3
"('buku', 'jurnal')",3
"('menyelesaikan', 'proyek')",3
"('kebutuhan', 'pangan')",3
"('malang', 'umm')",3
"('sistem', 'ilab')",3
"('pangan', 'pasca')",3
"('kementerian', 'pertanian')",3
"('pola', 'konsumsi')",3
"('beraneka', 'ragam')",3
"('utama', 'makanan')",3
"('allah', 'kepadamu')",3
"('12', '3')",3
"('setuju', '43')",3
"('9', 'responden')",3
"('setuju', '7')",3
"('masyarakat', 'modern')",3
"('2020', '2')",3
"('pendaftaran', 'mentor')",3
"('34', 'pengujian')",3
"('posttest', 'keterampilan')",3
"('resesi', 'global')",3
"('ulama', 'indonesia')",3
"('including', 'the')",3
"('21', 'responden')",3
"('22', '6')",3
"('7', 'responden')",3
"('faktor', 'utama')",3
"('daftar', 'transaksi')",3
"('ninla', 'elmawati')",3
"('elmawati', 'falabiba')",3
"('artikel', 'jurnal')",3
"('memiliki', 'keterkaitan')",3
"('open', 'ended')",3
"('a', 'rahmadhanningsih')",3
"('j', 'r')",3
"('dkk', 'pengembangan')",3
"('alat', 'pencernaan')",3
"('browser', 'safari')",3
"('pengujian', 'pengujian')",3
"('3', 'pengujian')",3
"('g', '2020')",3
"('l', '2021')",3
"('bernilai', 'valid')",3
"('menampilkan', 'halaman')",3
"('mentoring', 'aktif')",3
"('lihat', 'detail')",3
"('mentoring', 'gambar')",3
"('4', 'halaman')",3
"('5', 'halaman')",3
"('life', 'cycle')",3
"('teknik', 'pomodoro')",3
"('persen', 'ekspor')",3
"('kebutuhan', 'sistem')",3
"('time', 'based')",3
"('based', 'efficiency')",3
"('berhasil', 'menyelesaikan')",3
"('sdgs', 'sustainable')",3
"('gandum', 'dunia')",3
"('menjaga', 'ketahanan')",3
"('76', '3')",3
"('fuel', 'is')",3
"('9', '18')",3
"('18', '5')",3
"('mesin', 'kendaraan')",3
"('13', 'total')",3
"('tabel', '10')",3
"('a', 'k')",3
"('menerima', 'permintaan')",3
"('proses', 'mentoring')",3
"('menampilkan', 'data')",3
"('bahan', 'bahan')",3
"('of', 'human')",3
"('human', 'life')",3
"('level', '29')",3
"('level', '21')",3
"('35', 'responden')",3
"('skenario', 'sistem')",3
"('keras', 'perangkat')",3
"('implementasi', 'gamifikasi')",3
"('unique', 'and')",3
"('and', 'funny')",3
"('funny', 'badges')",3
"('daily', 'mission')",3
"('the', 'highest')",3
"('premium', 'fuels')",3
"('2', '10')",3
"('10', 'responden')",3
"('14', 'total')",3
"('24', 'responden')",3
"('14', '3')",3
"('setuju', '35')",3
"('identifikasi', 'aktor')",3
"('alur', 'pemesanan')",3
"('kesimpulan', 'berdasarkan')",3
"('pembahasan', '31')",3
"('implementasi', 'pengujian')",3
"('proses', 'pemesanan')",3
"('buang', 'air')",3
"('fuels', 'and')",3
"('sistem', 'aplikasi')",3
"('arsitektural', 'sistem')",3
"('perancangan', 'arsitektural')",3
"('lihat', 'informasi')",3
"('basis', 'data')",3
"('misi', 'harian')",3
"('noodles', 'association')",3
"('2', 'halaman')",3
"('volume', 'bahan')",3
"('lajnah', 'pentahih')",3
"('pentahih', 'muhaf')",3
"('muhaf', 'alquran')",3
"('3', 'h')",3
"('mendorong', 'manusia')",3
"('mol', 'udara')",3
"('2', '25')",3
"('555', 'tabel')",3
"('4', 'responden')",3
"('17', 'responden')",3
"('66', '4')",3
"('setuju', '4')",3
"('4', '36')",3
"('percikan', 'api')",3
"('akses', 'informasi')",3
"('compared', 'to')",3
"('komponen', 'lingkungan')",3
"('jabir', 'bin')",3
"('mengelola', 'lahan')",3
"('2', '17')",3
"('2', '27')",3
"('15', '3')",3
"('176', '555')",3
"('hidup', 'masyarakat')",3
"('mengalami', 'kenaikan')",3
"('religion', 'and')",3
"('proses', 'wawancara')",3
"('dokumen', 'perancangan')",3
"('asam', 'lemak')",3
"('hak', 'akses')",3
"('menolak', 'permintaan')",3
"('statistika', 'fakultas')",3
"('fakultas', 'vokasi')",3
"('teknik', 'industri')",3
"('industri', 'pertanian')",3
"('pertanian', 'fakultas')",3
"('fakultas', 'teknologi')",3
"('bimbingan', 'belajar')",3
"('religius', 'kemandirian')",3
"('learning', 'this')",3
"('and', 'also')",3
"('pandemic', 'covid19')",3
"('stabilitas', 'harga')",3
"('mengimplementasikan', 'teknologi')",3
"('teknologi', 'pertanian')",3
"('informatika', 'fakultas')",3
"('elektro', 'fakultas')",3
"('122', 'responden')",3
"('m', '2014')",3
"('butir', 'pernyataan')",3
"('c8h18', '125o2')",3
"('reaksi', 'kimia')",3
"('pesan', 'hadis')",3
"('bin', 'umar')",3
"('there', 'were')",3
"('1', '10')",3
"('16', 'total')",3
"('bensin', 'massa')",3
"('8co2', '9h2o')",3
"('3', '122')",3
"('122', '366')",3
"('366', '69')",3
"('setuju', '122')",3
"('results', 'showed')",3
"('questions', 'on')",3
"('sistem', 'berbasis')",3
"('pencarian', 'mentor')",3
"('implementasi', 'teknologi')",3
"('teknologi', 'progressive')",3
"('unit', 'pengujian')",3
"('pengujian', 'fungsional')",3
"('puspasari', 'et')",3
"('budaya', 'lokal')",3
"('ajar', 'etnospem')",3
"('area', '2')",3
"('area', '4')",3
"('karakter', 'kerjasama')",3
"('bertukar', 'pikiran')",3
"('have', 'a')",3
"('research', 'on')",3
"('jakarta', 'prenadamedia')",3
"('prenadamedia', 'group')",3
"('nilai', 'pengetahuan')",3
"('penerapan', 'etnosains')",3
"('udang', 'rebon')",3
"('1', 'tahapan')",3
"('pendidikan', 'sains')",3
"('buku', 'penghubung')",3
"('50', 'persen')",3
"('indonesia', 'email')",3
"('system', 'is')",3
"('into', 'the')",3
"('gusti', 'yarmi')",3
"('i', 'l')",3
"('of', 'ethnoscience')",3
"('alam', 'surya')",3
"('surya', 'mentari')",3
"('mentari', 'surakarta')",3
"('siklus', 'aktual')",3
"('yahya', 'bin')",3
"('study', 'is')",3
"('2016', 'penerapan')",3
"('cagar', 'budaya')",3
"('khas', 'daerah')",3
"('belajar', 'sains')",3
"('terasi', 'udang')",3
"('kelana', 'j')",3
"('j', 'b')",3
"('sains', 'siswa')",3
"('siswa', 'belajar')",3
"('muhammadiyah', 'alam')",3
"('memfasilitasi', 'pencarian')",3
"('of', 'education')",3
"('komoditas', 'lokal')",3
"('jumiati', '2020')",3
"('teknologi', 'masyarakat')",3
"('musik', 'produk')",3
"('produk', 'komoditas')",3
"('kerajinan', 'daerah')",3
"('2024', 'diterima')",3
"('nadiem', 'makarim')",3
"('action', 'research')",3
"('kurikulum', 'pembelajaran')",3
"('memiliki', 'keterbatasan')",3
"('pembelajaran', 'pemrograman')",3
"('2', 'adam')",3
"('kelenjar', 'eksokrin')",3
"('li', 'bin')",3
"('to', 'meet')",3
"('2019', 'a')",3
"('s', 'p')",3
"('menghasilkan', 'ratarata')",3
"('7', '5')",3
"('elemen', 'desain')",3
"('koneksi', 'internet')",3
"('for', 'elementary')",3
"('problem', 'solving')",3
"('school', 'students')",3
"('md', 'entertaiment')",3
"('penelitian', '4')",3
"('bin', 'sad')",3
"('dll', '3')",3
"('bin', 'li')",3
"('ix3', 'students')",3
"('menyebutnya', 'iqah')",3
"('nama', 'lengkap')",3
"('lainlain', '3')",3
"('syah', 'walyullah')",3
"('i', 'pendahuluan')",3
"('pendidikan', 'fisika')",3
"('kurikulum', '2013')",3
"('diakses', '18')",3
"('naive', 'bayes')",3
"('h', '2021')",3
