document_name,sentence_number,preprocessed_tokens
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,97,perhitungan dari tfidf dapat dilihat pada persamaan 1
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,98,32 algoritma nave bayes algoritma nave bayes merupakan salah satu algoritma yang dapat digunakan dalam klasifikasi
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,99,algoritma ini didasarkan pada model probabilistik yang disederhanakan dengan berdasar teorema bayes fikri et al 2020
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,102,1 1 296 jurnal teknologi informasi dan ilmu komputer jtiik vol
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,103,12 no
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,104,2 april 2025 hlm
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,105,293300 keterangan frekuensi kata t dalam dokumen d idf nilai idf dari kata t jumlah dokumen jumlah dokumen yang mengandung kata k algoritma ini mengasumsikan bahwa setiap variabel bersifat bebas atau independen yang berarti ada atau tidaknya ciri tertentu pada suatu kelas tidak berhubungan dengan kelas lainnya
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,106,multinomial nave bayes merupakan salah satu jenis algoritma nave bayes yang cocok digunakan dalam klasifikasi data berbentuk teks pangestu kodar 2022
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,107,model multinomial menghitung probabilitas pada setiap kata dalam dokumen pada setiap kategori untuk menghitung probabilitas dari sebuah dokumen masuk pada kategori terntentu wati et al 2023
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,108,perhitungan klasifikasi dari algoritma multinomial nave bayes dapat dilihat pada persamaan 2
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,111,2 keterangan prior dari kategori c probabilitasi kata dalam dokumen masuk dalam kategori c jumlah kata dalam dokumen bobot tfidf probabilitas dokumen d termasuk dalam kategori c 33 kfold cross validation kfold cross validation adalah metode yang digunakan untuk melakukan pengujian model dengan cara membagi data sebanyak k bagian dan melakukan iterasi sebanyak k bagian juga ratnawati 2018
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,112,pengujian akan menggunakan partisi yang berbeda pada tiap iterasinya dan akan dilihat hasil dari masing masing iterasinya
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,113,sebagai contoh pada validasi pertama menggunakan data pada posisi pertama maka pada iterasi berikutnya akan menggunakan data validasi pada posisi kedua dan seterusnya
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,114,34 root cause analysis rca rca merupakan metode yang digunakan untuk mendiagnosis penyebab kritis dari suatu kesalahan atau fenomena yang tidak dikehendaki park kim 2021
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,115,rca merupakan alat yang digunakan untuk mengetahui tidak hanya apa dan bagaimana suatu masalah terjadi tetapi kenapa permasalahan terjadi rooney vanden hauvel 2004
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,116,4
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,117,hasil dan analisis 41 hasil pelabelan total data yang didapatkan berjumlah 1787 data dengan rincian ditampilkan pada tabel 3
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,118,hasil pelabelan yang dilakukan menunjukkan secara keseluruhan aplikasi jconnect mobile mendapatkan banyak sentimen positif dari pengguna dengan 899 ulasan positif atau setara dengan 5003 dari keseluruhan data
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,119,aspek layanan memiliki jumlah ulasan terbanyak dengan 919 ulasan dan aspek tampilan dengan ulasan paling sedikit dengan 61 ulasan
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,120,aspek fitur dan performa menjadi satu satunya aspek yang memiliki ulasan dengan sentimen negatif lebih banyak daripada sentimen positif
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,121,hasil pelabelan ditampilkan pada tabel 3
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,122,tabel 3
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,123,distribusi sentimen aspek positif negatif total rasio tampilan 39 22 61 177 1 fitur dan performa 203 604 807 1 297 layanan 657 262 919 250 1 total 899 888 1787 1011 42 hasil pengujian klasifikasi sentimen pengujian dilakukan dengan kfold cross validation dengan k bernilai 10 untuk menguji performa model dengan metriks pengujian yaitu akurasi presisi recall dan f1score
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,124,tabel 4
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,125,hasil kfold cross validation aspek akurasi presisi recall f1score tampilan 867 869 858 851 fitur dan performa 913 882 896 888 layanan 965 958 957 957 semua data 931 932 931 931 hasil pengujian menunjukkan model pada aspek layanan memiliki performa paling bagus diantara aspek lainnya
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,126,aspek layanan mendapatkan performa paling bagus karena memiliki dataset dengan rasio perbandingan kelas dengan data banyak terbanyak ke1 dan seimbang seimbang ke2
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,127,hasil pengujian pada aspek layanan yang menunjukkan performa yang bagus dan stabil antara akurasi presisi recall dan f1score menunjukkan bahwa model pada aspek layanan dapat memprediksi kelas sentimen dengan sangat baik
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,128,performa yang baik pada aspek layanan juga dihasilkan karena data yang ada pada aspek layanan lebih sederhana jika dibandingkan dengan aspek lainnya
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,129,hal tersebut ditunjukkan dengan rerata jumlah fitur pada aspek layanan yang lebih sedikit jika dibandingkan dengan jumlah fitur pada aspek fitur dan performa yang memiliki jumlah data lebih sedikit
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,130,hasil dari pengujian tesebut didukung oleh jurnal yang ditulis oleh sun et al 2009 yang mengatakan semakin kecil rasio ketidakseimbangan distribusi data maka performa cenderung semakin baik
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,131,jurnal tersebut juga mengatakan bahwa ketika dataset dalam bentuk tidak seimbang maka jumlah putra ratnawati analisis sentimen berbasis aspek 297 data memiliki peran penting dalam menentukan performa model
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,132,aspek fitur dan performa secara keseluruhan memiliki performa paling baik kedua jika dilihat dari nilai f1score
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,133,presisi yang rendah pada aspek fitur dan performa disebabkan oleh sering munculnya false positive pada pengujian yang dilakukan yang menunjukkan model masih kurang dalam memprediksi kelas positif dengan akurat
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,134,presisi yang rendah dapat disebabkan oleh data yang tidak seimbang antar kelas dan fitur yang tumpang tindih antar kelas sehingga fitur cenderung tidak representatif untuk setiap kelas
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,135,aspek tampilan memiliki performa paling rendah jika dilihat secara keseluruhan dikarenakan meskipun datanya paling seimbang diantara aspek lainnya tetapi data yang dimiliki paling sedikit
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,136,43 hasil root cause analysis root cause analysis rca dilakukan dengan mencari pola kalimat yang sering muncul pada
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,137,pola kalimat dicari dengan menggunakan wordcloud untuk mencari ulasan yang paling sering dibicarakan pada ulasan negatif untuk mencari permasalahan yang ada
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,138,hasil dari wordcloud ulasan negatif kemudian digunakan untuk membuat root cause tree dengan cara menelusuri ulasan yang ada dengan kata kunci yang muncul pada wordcloud yang telah dibuat
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,139,hasil dari root cause tree yang dibuat menghasilkan root cause dari masing masing aspek
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,140,hasil dari root cause tree dapat dilihat pada gambar 2 gambar 3 dan gambar 4
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,141,431 aspek tampilan gambar 2
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,142,root cause tree tampilan hasil wawancara dengan stakeholder terkait permasalahan yang ditemukan dalam aspek tampilan menunjukkan bahwa desain masih menggunakan pemrograman sederhana sehingga untuk merubah desain secara penuh masih terbatas selain itu fokus utama saat ini adalah fitur aplikasi masih bisa memenuhi kebutuhan nasabah dan bekerja dengan baik
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,143,permasalahan yang telah ditemukan kemudian disesuaikan dengan 10 prinsip dari jakob nielsen untuk desain interaksi sebagai pedoman
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,144,prinsip yang dikemukakan oleh jakob nielsen disebut heuristik karena merupakan pedoman umum dan bukan pedoman spesifik nielsen 2020
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,145,sebaran permasalahan berdasarkan prinsip nielsen ditampilkan pada tabel 6
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,146,tabel 6
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,147,permasalahan pada prinsip nielsen prinsip permasalahan aesthetic and minimalist design delay scroll yang dapat diakibatkan oleh animasi yang terlalu berat konten visual yang terlalu banyak keterangan di mutasi kurang jelas recognition rather than recall kesulitan menemukan menu cek saldo dan mutasi rekening 432 aspek fitur dan performa gambar 3
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,148,root cause tree fitur dan performa permasalahan yang ditemukan pada aspek fitur dan performa dapat terjadi karena permasalahan jaringan permasalahan provider bug sistem dan traffic aplikasi yang sedang ramai sehingga menyebabkan aplikasi menjadi lambat
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,149,permasalahan seringnya sistem meminta aktivasi ulang juga dapat terjadi karena ketidaktahuan pengguna tentang hal hal yang dapat menyebabkan aktivasi ulang dan kendala dari koneksi internet pengguna
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,150,433 aspek layanan gambar 4
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,151,root cause tree layanan proses aktivasi yang mengharuskan nasabah untuk datang ke kantor cabang dilakukan karena pertimbangan faktor kemanan dimana harus nasabahnya langsung yang bisa melakukan aktivasi
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,152,hasil komunikasi dan root cause yang telah didapatkan tersebut kemudian digunakan untuk membuat rekomendasi evaluasi yang dapat diterapkan
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,153,hasil rekomendasi yang telah disusun ditampilkan pada tabel 7
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,154,5
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,155,kesimpulan dan saran hasil pengujian algoritma nave bayes dengan k fold cross validation menunjukkan bahwa model yang dibangun memiliki performa yang baik dalam mengklasifikasikan sentimen pada teks
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,156,298 jurnal teknologi informasi dan ilmu komputer jtiik vol
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,157,12 no
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,158,2 april 2025 hlm
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,159,293300 tabel 7
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,160,rekomendasi evaluasi aspek root cause rekomendasi tampilan desain terlalu sederhana dan kurang menarik memperbarui desain dan tampilan dengan menambahkan elemen interaktif seperti animasi yang halus dan tidak berat optimasi pada kode skrip dan optimasi pada gambar atau media lainnya sehingga delay scroll dapat dihindari pertimbangkan untuk menambahkan elemen desain yang menarik seperti ikon yang indah animasi halus atau penggunaan warna yang menarik dengan tetap menjaga kesederhanaan sehingga tetap mudah dipahami oleh pengguna fitur dan performa sering meminta aktivasi ulang melakukan optimasi fitur aktivasi memberikan panduan kepada pengguna halhal yang dapat menyebabkan aktivasi ulang tidak menerima nomor aktivasi melakukan optimasi fitur aktivasi menambahkan sistem pengiriman nomor aktivasi dengan menggunakan email atau aplikasi pesan yang banyak digunakan orang seperti whatsapp sistem kurang stabil sering terjadi eror dan lambat sistem kurang stabil biasa terjadi ketika traffic sedang ramai pada aplikasi
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,161,untuk mengatasi masalah sudah dilakukan maintenance rutin untuk infrastruktur yang menunjang aplikasi seperti server database dan hardware lain sehingga dapat memenuhi beban kerja aplikasi layanan layanan aktivasi harus ke kantor cabang atau atm menambahkan opsi aktivasi secara online
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,162,hasil pengujian pada seluruh data ulasan menghasilkan ratarata akurasi 931 presisi 932 recall 931 dan f1score 931
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,163,hasil pengujian pada masingmasing aspek menunjukkan aspek layanan menghasilkan performa paling baik dengan ratarata akurasi 965 presisi 958 recall 957 dan f1score 957
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,164,aspek fitur dan performa menghasilkan ratarata akurasi 913 presisi 882 recall 896 f1score 888
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,165,aspek tampilan menghasilkan ratarata akurasi 867 presisi 869 recall 858 dan f1score 851
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,166,aspek tampilan menghasilkan performa paling rendah dikarenakan memiliki jumlah data paling sedikit
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,167,aspek layanan mendapatkan hasil paling baik karena memiliki jumlah data yang banyak dan data yang sederhana sehingga mudah diklasifikasikan aspek tampilan layanan mendapatkan sentimen positif lebih banyak daripada sentimen negatif dimana pengguna puas dengan aspek tampilan yang mudah digunakan dan aspek layanan yang memudahkan dalam bertransaksi
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,168,aspek fitur dan performa mendapatkan ulasan paling banyak dengan jumlah sentimen negatif lebih banyak daripada sentimen positif
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,169,hasil root cause analysis pada sentimen negatif mendapatkan 5 permasalahan dari 3 aspek tampilan fitur dan performa dan layanan yang kemudian dikomunikasikan kepada stakeholder dan dibuat rekomendasi yang dapat diterapkan oleh jconnect mobile
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,170,rekomendasi yang didapatkan sebanyak 9 rekomendasi diantaranya adalah menambahkan opsi aktivasi secara online
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,171,rekomendasi yang didapatkan kemudian diserahkan kepada pihak bank jatim sebagai bahan evaluasi
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,172,penelitian ini hanya menggunakan data bersumber pada kolom ulasan playstore sehingga pada penelitian berikutnya dapat menambahkan data terbaru dan menambahkan sumber ulasan pengguna lain seperti melalui media sosial pada penelitian selanjutnya dapat menggunakan proses pelabelan otomatis dengan mesin untuk melihat perbedaan hasil yang didapat daftar pustaka albab m u p y k fawaiq n m 2023
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,173,optimization of the stemming technique on text preprocessing president 3 periods topic
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,174,jurnal transformatika 202 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,175,112
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,176,alqaryouti o siyam n shaalan k 2019
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,177,a sentiment analysis lexical resource and dataset for government smart apps domain
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,178,sl springer p 230 240
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,179,astuti s p 2020
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,180,analisis sentimen berbasis aspek pada aplikasi tokopedia menggunakan lda dan nave bayes jakarta uin syarif hidayatullah jakarta
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,181,devika m d sunitha c ganesh a 2016
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,182,sentiment analysis a comparative putra ratnawati analisis sentimen berbasis aspek 299 study on different approaches
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,183,procedia computer science volume 87 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,184,4449
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,185,fan s yao j yangyang s zhan y 2020
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,186,a summary of aspectbased sentiment analysis
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,187,journal of physics conference series 16242 p 022051
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,188,fikri m i sabrila t s azhar y 2020
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,189,perbandingan metode nave bayes dan support vector machine pada analisis sentimen twitter
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,190,smatika jurnal 102 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,191,7176
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,192,insan m k hayati u
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,193,nurdiawan o 2023
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,194,analisis sentimen aplikasi brimo pada ulasan pengguna di google play menggunakan algoritma naive bayes
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,195,jati jurnal mahasiswa teknik informatika 71 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,196,478483
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,197,jayani d h 2021
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,198,proyeksi orang dewasa yang memiliki rekening bank digital 2021 2026
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,199,online available at httpsdatabokskatadatacoiddatapublish 20211007penggunabankdigitaldi indonesiadiproyeksicapai748jutapada 2026 diakses 18 februari 2023
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,200,jconnect mobile tthn
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,201,jconnect mobile
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,202,online available at httpsplaygooglecomstoresearchqjco nnectmobilecapps diakses 3 maret 2023
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,203,nielsen j 2020
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,204,10 usability heuristics for user interface design
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,205,online available at httpswwwnngroupcomarticlesten usabilityheuristics diakses 23 july 2023
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,206,pangestu d j
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,207,kodar a 2022
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,208,implementasi multinomial nave bayes untuk klasifikasi sentimen terhadap pelayanan perusahaan otobus menggunakan data facebook studi kasus grup facebook murni jaya lovers
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,209,jurnal pengembangan it jpit 73 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,210,156160
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,211,park s m kim y g 2021
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,212,root cause analysis based on relations among sentiment words
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,213,cognitive computation 134 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,214,903918
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,215,rahmawati d et al 2016
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,216,penerapan metode rootcause analysis rca dalam pengembangan kawasan wisata cagar budaya kampung kemasan gresik
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,217,jurnal penataan ruang 111 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,218,19
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,219,ratnawati f 2018
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,220,implementasi algoritma naive bayes terhadap analisis sentimen opini film pada twitter
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,221,jurnal inovtek polbeng 31 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,222,5059
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,223,rooney j j
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,224,vanden hauvel l n 2004
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,225,root cause analysis for beginners
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,226,quality progress 377 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,227,4553
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,228,sun y wong a k kamel m s 2009
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,229,classification of imbalanced data a review
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,230,international journal of pattern recognition and artificial intelligence 234 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,231,687719
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,232,wati r ernawati s rachmi h 2023
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,233,pembobotan tfidf menggunakan nave bayes pada sentimen masyarakat mengenai isu kenaikan bipih
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,234,jurnal manajemen informatika jamika 131 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,235,8493
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,236,yutika c h adiwijaya faraby s a 2021
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,237,analisis sentimen berbasis aspek pada review female daily menggunakan tfidf dan nave bayes
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,238,jurnal media informatika budidarma 52 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,239,422430
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,240,zhafira d f rahayudi b
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,241,indriati 2021
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,242,analisis sentimen kebijakan kampus merdeka menggunakan naivebayes dan pembobotan tfidf berdasarkan komentar pada youtube
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,243,jurnal sistem informasi teknologi informasi dan edukasi sistem informasi justsi 21 pp
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,244,5563
ANALISIS SENTIMENBERBASISASPEKPADAAPLIKASI MOBILE.pdf,245,halaman ini sengaja dikosongkan
APLIKASI BERBASIS PROGRESSIVE WEB APP (MENTOREE).pdf,1,jurnal teknologi informasi dan ilmu komputer jtiik doi 1025126jtiik2025128733 vol
APLIKASI BERBASIS PROGRESSIVE WEB APP (MENTOREE).pdf,2,12 no
APLIKASI BERBASIS PROGRESSIVE WEB APP (MENTOREE).pdf,3,2 april 2025 hlm
APLIKASI BERBASIS PROGRESSIVE WEB APP (MENTOREE).pdf,4,481490 pissn 23557699 akreditasi kemenristekdikti no
APLIKASI BERBASIS PROGRESSIVE WEB APP (MENTOREE).pdf,5,36ekpt2019 eissn 25286579 481 aplikasi berbasis progressive web app mentoree sebagai layanan pendampingan pembelajaran pemrograman di universitas brawijaya muhamad fauzan wahyudi1 lutfi fanani 2 adam hendra brata 3 1 2 3universitas brawijaya malang email 1muhamadfauzanstudentubacid 2lutfifananiubacid 3adamubacid penulis korespondensi naskah masuk 13 februari 2024 diterima untuk diterbitkan 15 april 2025 abstrak seiring dengan proses modernisasi teknologi menjadi salah satu bidang ilmu yang penting untuk dipelajari nadiem makarim selaku menteri pendidikan kebudayaan riset dan teknologi mendikbud ristek menanggapi modernisasi dengan menyusun kurikulum pendidikan yang terintegrasi teknologi
APLIKASI BERBASIS PROGRESSIVE WEB APP (MENTOREE).pdf,6,adanya mata kuliah yang mempelajari penggunaan maupun pengembangan teknologi informasi hampir pada setiap jurusan di universitas di indonesia
APLIKASI BERBASIS PROGRESSIVE WEB APP (MENTOREE).pdf,7,contohnya universitas brawijaya yang menerapkan materi pemrograman pada kurikulum pembelajaran mereka
APLIKASI BERBASIS PROGRESSIVE WEB APP (MENTOREE).pdf,8,hal ini memunculkan masalah baru khususnya bagi mahasiswa yang memiliki keterbatasan dalam penguasaan mata kuliah yang berhubungan dengan pemrograman
APLIKASI BERBASIS PROGRESSIVE WEB APP (MENTOREE).pdf,9,dilakukan wawancara dengan 10 mahasiswa dari 5 program studi berbeda didapatkan data bahwa mereka memerlukan adanya bantuan tutor untuk membantu mereka dalam mengikuti mata kuliah yang berkaitan dengan bahasa pemrograman
APLIKASI BERBASIS PROGRESSIVE WEB APP (MENTOREE).pdf,10,berdasarkan permasalahan tersebut peneliti membuat gagasan mengenai sebuah sistem berbasis progressive web app yang dirancang untuk memfasilitasi pencarian mentor secara online dengan memiliki kelayakan teknis yang baik sehingga dapat diimplementasikan secara efektif dan efisien
APLIKASI BERBASIS PROGRESSIVE WEB APP (MENTOREE).pdf,11,implementasi teknologi progressive web app dinilai lebih efektif karena memberikan keleluasaan bagi pengguna untuk mengakses aplikasi baik melalui website maupun aplikasi mobile
